date,stage,team_a,score_a,score_b,team_b,pen_winner,pen_a,pen_b
2026-06-11,group,Mexico,2,0,South Africa,,,
2026-06-11,group,South Korea,2,1,Czech Republic,,,
2026-06-12,group,Canada,1,1,Bosnia and Herzegovina,,,
2026-06-12,group,United States,4,1,Paraguay,,,
2026-06-13,group,Qatar,1,1,Switzerland,,,
2026-06-13,group,Brazil,1,1,Morocco,,,
2026-06-13,group,Haiti,0,1,Scotland,,,
2026-06-13,group,Australia,2,0,Turkey,,,
2026-06-14,group,Germany,7,1,Curaçao,,,
2026-06-14,group,Ivory Coast,1,0,Ecuador,,,
2026-06-14,group,Netherlands,2,2,Japan,,,
2026-06-14,group,Sweden,5,1,Tunisia,,,
2026-06-15,group,Belgium,1,1,Egypt,,,
2026-06-15,group,Iran,2,2,New Zealand,,,
2026-06-15,group,Spain,0,0,Cape Verde,,,
2026-06-15,group,Saudi Arabia,1,1,Uruguay,,,
2026-06-16,group,France,3,1,Senegal,,,
2026-06-16,group,Norway,4,1,Iraq,,,
2026-06-16,group,Argentina,3,0,Algeria,,,
2026-06-16,group,Austria,3,1,Jordan,,,
2026-06-17,group,Portugal,1,1,DR Congo,,,
2026-06-17,group,Uzbekistan,1,3,Colombia,,,
2026-06-17,group,England,4,2,Croatia,,,
2026-06-17,group,Ghana,1,0,Panama,,,
2026-06-18,group,Mexico,1,0,South Korea,,,
2026-06-18,group,Czech Republic,1,1,South Africa,,,
2026-06-18,group,Switzerland,4,1,Bosnia and Herzegovina,,,
2026-06-18,group,Canada,6,0,Qatar,,,
2026-06-19,group,Scotland,0,1,Morocco,,,
2026-06-19,group,Brazil,3,0,Haiti,,,
2026-06-19,group,United States,2,0,Australia,,,
2026-06-19,group,Turkey,0,1,Paraguay,,,
2026-06-20,group,Germany,2,1,Ivory Coast,,,
2026-06-20,group,Ecuador,0,0,Curaçao,,,
2026-06-20,group,Netherlands,5,1,Sweden,,,
2026-06-20,group,Japan,4,0,Tunisia,,,
2026-06-21,group,Belgium,0,0,Iran,,,
2026-06-21,group,Egypt,3,1,New Zealand,,,
2026-06-21,group,Spain,4,0,Saudi Arabia,,,
2026-06-21,group,Uruguay,2,2,Cape Verde,,,
2026-06-22,group,France,3,0,Iraq,,,
2026-06-22,group,Norway,3,2,Senegal,,,
2026-06-22,group,Argentina,2,0,Austria,,,
2026-06-22,group,Jordan,1,2,Algeria,,,
2026-06-23,group,Portugal,5,0,Uzbekistan,,,
2026-06-23,group,Colombia,1,0,DR Congo,,,
2026-06-23,group,England,0,0,Ghana,,,
2026-06-23,group,Panama,0,1,Croatia,,,
